Gender,Age (years),Sedentary,Moderately Active,Active
Male,2,"1,000","1,000","1,000"
Male,3,"1,200","1,400","1,400"
Male,4,"1,200","1,400","1,600"
Male,5,"1,200","1,400","1,600"
Male,6,"1,400","1,600","1,800"
Male,7,"1,400","1,600","1,800"
Male,8,"1,400","1,600","2,000"
Male,9,"1,600","1,800","2,000"
Male,10,"1,600","1,800","2,200"
Male,11,"1,800","2,000","2,200"
Male,12,"1,800","2,200","2,400"
Male,13,"2,000","2,200","2,600"
Male,14,"2,000","2,400","2,800"
Male,15,"2,200","2,600","3,000"
Male,16,"2,400","2,800","3,200"
Male,17,"2,400","2,800","3,200"
Male,18,"2,400","2,800","3,200"
Male,19,"2,600","2,800","3,000"
Male,20,"2,600","2,800","3,000"
Male,21,"2,400","2,800","3,000"
Male,22,"2,400","2,800","3,000"
Male,23,"2,400","2,800","3,000"
Male,24,"2,400","2,800","3,000"
Male,25,"2,400","2,800","3,000"
Male,26,"2,400","2,600","3,000"
Male,27,"2,400","2,600","3,000"
Male,28,"2,400","2,600","3,000"
Male,29,"2,400","2,600","3,000"
Male,30,"2,400","2,600","3,000"
Male,31,"2,400","2,600","3,000"
Male,32,"2,400","2,600","3,000"
Male,33,"2,400","2,600","3,000"
Male,34,"2,400","2,600","3,000"
Male,35,"2,400","2,600","3,000"
Male,36,"2,400","2,600","2,800"
Male,37,"2,400","2,600","2,800"
Male,38,"2,400","2,600","2,800"
Male,39,"2,400","2,600","2,800"
Male,40,"2,400","2,600","2,800"
Male,41,"2,200","2,600","2,800"
Male,42,"2,200","2,600","2,800"
Male,43,"2,200","2,600","2,800"
Male,44,"2,200","2,600","2,800"
Male,45,"2,200","2,600","2,800"
Male,46,"2,200","2,400","2,800"
Male,47,"2,200","2,400","2,800"
Male,48,"2,200","2,400","2,800"
Male,49,"2,200","2,400","2,800"
Male,50,"2,200","2,400","2,800"
Male,51,"2,200","2,400","2,800"
Male,52,"2,200","2,400","2,800"
Male,53,"2,200","2,400","2,800"
Male,54,"2,200","2,400","2,800"
Male,55,"2,200","2,400","2,800"
Male,56,"2,200","2,400","2,600"
Male,57,"2,200","2,400","2,600"
Male,58,"2,200","2,400","2,600"
Male,59,"2,200","2,400","2,600"
Male,60,"2,200","2,400","2,600"
Male,61,"2,000","2,400","2,600"
Male,62,"2,000","2,400","2,600"
Male,63,"2,000","2,400","2,600"
Male,64,"2,000","2,400","2,600"
Male,65,"2,000","2,400","2,600"
Male,66,"2,000","2,200","2,600"
Male,67,"2,000","2,200","2,600"
Male,68,"2,000","2,200","2,600"
Male,69,"2,000","2,200","2,600"
Male,70,"2,000","2,200","2,600"
Male,71,"2,000","2,200","2,600"
Male,72,"2,000","2,200","2,600"
Male,73,"2,000","2,200","2,600"
Male,74,"2,000","2,200","2,600"
Male,75,"2,000","2,200","2,600"
Male,76,"2,000","2,200","2,400"
Female,2,"1,000","1,000","1,000"
Female,3,"1,000","1,200","1,400"
Female,4,"1,200","1,400","1,400"
Female,5,"1,200","1,400","1,600"
Female,6,"1,200","1,400","1,600"
Female,7,"1,200","1,600","1,800"
Female,8,"1,400","1,600","1,800"
Female,9,"1,400","1,600","1,800"
Female,10,"1,400","1,800","2,000"
Female,11,"1,600","1,800","2,000"
Female,12,"1,600","2,000","2,200"
Female,13,"1,600","2,000","2,200"
Female,14,"1,800","2,000","2,400"
Female,15,"1,800","2,000","2,400"
Female,16,"1,800","2,000","2,400"
Female,17,"1,800","2,000","2,400"
Female,18,"1,800","2,000","2,400"
Female,19,"2,000","2,200","2,400"
Female,20,"2,000","2,200","2,400"
Female,21,"2,000","2,200","2,400"
Female,22,"2,000","2,200","2,400"
Female,23,"2,000","2,200","2,400"
Female,24,"2,000","2,200","2,400"
Female,25,"2,000","2,200","2,400"
Female,26,"1,800","2,000","2,400"
Female,27,"1,800","2,000","2,400"
Female,28,"1,800","2,000","2,400"
Female,29,"1,800","2,000","2,400"
Female,30,"1,800","2,000","2,400"
Female,31,"1,800","2,000","2,200"
Female,32,"1,800","2,000","2,200"
Female,33,"1,800","2,000","2,200"
Female,34,"1,800","2,000","2,200"
Female,35,"1,800","2,000","2,200"
Female,36,"1,800","2,000","2,200"
Female,37,"1,800","2,000","2,200"
Female,38,"1,800","2,000","2,200"
Female,39,"1,800","2,000","2,200"
Female,40,"1,800","2,000","2,200"
Female,41,"1,800","2,000","2,200"
Female,42,"1,800","2,000","2,200"
Female,43,"1,800","2,000","2,200"
Female,44,"1,800","2,000","2,200"
Female,45,"1,800","2,000","2,200"
Female,46,"1,800","2,000","2,200"
Female,47,"1,800","2,000","2,200"
Female,48,"1,800","2,000","2,200"
Female,49,"1,800","2,000","2,200"
Female,50,"1,800","2,000","2,200"
Female,51,"1,600","1,800","2,200"
Female,52,"1,600","1,800","2,200"
Female,53,"1,600","1,800","2,200"
Female,54,"1,600","1,800","2,200"
Female,55,"1,600","1,800","2,200"
Female,56,"1,600","1,800","2,200"
Female,57,"1,600","1,800","2,200"
Female,58,"1,600","1,800","2,200"
Female,59,"1,600","1,800","2,200"
Female,60,"1,600","1,800","2,200"
Female,61,"1,600","1,800","2,000"
Female,62,"1,600","1,800","2,000"
Female,63,"1,600","1,800","2,000"
Female,64,"1,600","1,800","2,000"
Female,65,"1,600","1,800","2,000"
Female,66,"1,600","1,800","2,000"
Female,67,"1,600","1,800","2,000"
Female,68,"1,600","1,800","2,000"
Female,69,"1,600","1,800","2,000"
Female,70,"1,600","1,800","2,000"
Female,71,"1,600","1,800","2,000"
Female,72,"1,600","1,800","2,000"
Female,73,"1,600","1,800","2,000"
Female,74,"1,600","1,800","2,000"
Female,75,"1,600","1,800","2,000"
Female,76,"1,600","1,800","2,000"
